Sub_id1,Sub_id2,click_hour,click_day_of_week,commission_level
judydoll,purple,0,1,0
nude,white,12,4,1
judydoll,purple,14,6,1
judydoll,purple,14,6,1
nude,purple,20,6,1
colgateOpticWhite,purple,5,0,1
colgateOpticWhite,purple,5,0,0
colgateOpticWhite,purple,5,0,1
colgateOpticWhite,purple,5,0,0
colgateOpticWhite,purple,5,0,0
colgateOpticWhite,purple,5,0,0
judydoll,purple,1,0,0
nude,red,1,0,0
nude,purple,9,1,0
nude,purple,9,1,0
nude,purple,9,1,0
nude,red,22,6,0
oppo,blue,22,6,1
nude,purple,16,5,1
oppo,purple,8,0,0
oppo,purple,8,0,0
judydoll,purple,15,6,1
colgateOpticWhite,purple,19,4,1
colgateOpticWhite,white,16,3,0
nude,purple,16,4,1
judydoll,purple,10,4,1
nude,purple,2,0,1
nude,red,19,5,1
oppo,red,22,3,1
nude,blue,1,2,0
nude,blue,1,2,1
nude,blue,1,2,1
nude,blue,1,2,0
nude,blue,1,2,1
judydoll,purple,6,1,1
nude,purple,8,0,1
nude,purple,8,0,1
nude,purple,8,0,0
nude,purple,8,0,0
nude,purple,8,0,0
nude,white,12,4,1
nude,white,12,4,0
colgateOpticWhite,white,15,5,1
nude,purple,16,5,1
nude,purple,16,5,0
nude,purple,16,5,0
nude,purple,16,5,0
judydoll,purple,11,5,0
colgateOpticWhite,purple,16,5,0
nude,purple,11,5,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
nude,purple,13,5,0
nude,purple,12,5,0
colgateOpticWhite,white,15,3,0
oppo,red,22,3,1
colgateOpticWhite,purple,7,6,1
oppo,purple,14,3,1
oppo,purple,14,3,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
oppo,purple,12,3,1
nude,purple,4,4,1
nude,purple,4,4,1
nude,purple,4,4,0
nude,purple,4,4,1
nude,purple,4,4,1
nude,purple,4,4,0
nude,purple,4,4,0
nude,purple,4,4,0
nude,purple,4,4,0
nude,purple,4,4,0
nude,purple,4,4,1
nude,purple,4,4,0
nude,red,22,4,1
nude,red,22,4,0
nude,red,22,4,0
nude,red,22,4,0
nude,red,22,4,0
nude,red,22,4,0
nude,red,22,4,0
nude,red,22,4,0
nude,purple,23,4,0
nude,purple,23,4,0
nude,purple,23,4,0
nude,purple,23,4,0
colgateOpticWhite,purple,18,4,1
nude,purple,6,4,1
colgateOpticWhite,purple,21,4,1
colgateOpticWhite,purple,18,4,1
colgateOpticWhite,purple,1,3,0
nude,purple,9,0,1
nude,white,13,4,0
colgateOpticWhite,red,23,3,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
nude,purple,6,0,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,0,6,1
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,0,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
oppo,purple,13,5,1
judydoll,white,1,4,1
judydoll,white,1,4,0
judydoll,white,1,4,0
judydoll,purple,23,3,1
judydoll,red,1,2,0
judydoll,red,1,2,0
judydoll,purple,22,3,1
judydoll,purple,22,3,0
nude,blue,23,0,1
nude,red,14,6,0
nude,red,14,6,1
judydoll,purple,22,3,0
colgateOpticWhite,purple,1,3,1
colgateOpticWhite,purple,1,3,0
colgateOpticWhite,white,15,3,0
judydoll,purple,4,1,1
colgateOpticWhite,white,16,3,1
judydoll,purple,12,1,1
colgateOpticWhite,white,15,3,1
oppo,purple,13,3,0
judydoll,blue,13,3,0
nude,purple,15,0,0
oppo,purple,12,3,0
judydoll,purple,13,1,1
oppo,purple,12,3,0
colgateOpticWhite,purple,1,6,1
nude,red,11,3,1
colgateOpticWhite,purple,1,3,1
colgateOpticWhite,purple,1,3,0
colgateOpticWhite,purple,1,3,1
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,1
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
colgateOpticWhite,purple,1,6,0
