click_hour,click_day_of_week,Sub_id1_colgateOpticWhite,Sub_id1_flowdays,Sub_id1_judydoll,Sub_id1_nude,Sub_id1_oppo,Sub_id2_blue,Sub_id2_purple,Sub_id2_red,Sub_id2_white
0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
17,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
15,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
23,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
20,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
14,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
11,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
10,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
23,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
22,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
22,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
16,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
23,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
13,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
16,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
23,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
22,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
15,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
17,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
10,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
20,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
15,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
22,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
18,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
22,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
11,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
